date,capacity_percent,storage_af,elevation_ft,rain_today_in,rain_month_in,rain_water_year_in,last_updated
2026-07-06,92.6,178662,748.30,0.00,0.00,33.17,2026-07-06T08:00:00-07:00
2026-07-10,92.2,177979,748.07,0.00,0.00,33.17,2026-07-10T08:00:00-07:00
2026-07-13,92.0,177565,747.93,0.00,0.00,33.17,2026-07-13T08:00:00-07:00
2026-07-17,91.7,176978,747.73,0.00,0.00,33.17,2026-07-17T08:00:00-07:00
2026-07-20,91.5,176596,747.59,0.00,0.00,33.17,2026-07-20T08:00:00-07:00
2026-07-24,91.1,175862,747.35,0.00,0.00,33.17,2026-07-24T08:00:00-07:00
2026-07-27,90.9,175480,747.22,0.00,0.00,33.17,2026-07-27T08:00:00-07:00
2026-07-31,90.7,174981,747.03,0.00,0.00,33.17,2026-07-31T08:00:00-07:00
2026-08-01,90.6,174834,747.00,0.00,0.00,33.17,2026-08-01T08:00:00-07:00
2026-08-07,90.1,173934,746.69,0.00,0.00,33.17,2026-08-07T08:00:00-07:00
2026-08-10,90.0,173586,746.57,0.00,0.00,33.17,2026-08-10T08:00:00-07:00
2026-08-14,89.6,172918,746.34,0.00,0.00,33.17,2026-08-14T08:00:00-07:00
